Year	Month	Precip	PET-Thornwaite	PET_Hargreaves
1990	12	3.796134547	7.74548143127845	52.5655464588648
1991	1	80.2028892542	6.21151264411602	48.1077600857877
1991	2	10.86719429	20.3007013566304	74.2679278399991
1991	3	10.7295307842	43.3770653347365	117.665551318115
1991	4	35.68109899	77.5809821580606	154.17158595056
1991	5	88.9775134025	134.521382376678	182.677693976333
1991	6	150.7713293351	153.861296952239	183.160295002542
1991	7	41.8183727	172.191894426864	192.545242714061
1991	8	64.99842646	155.664207370422	173.630202785171
1991	9	177.6874554019	94.2908090013122	123.573034921229
1991	10	76.9448608	66.8296999264506	108.984539258776
1991	11	5.35081717	16.4762878094592	60.3782305066321
1991	12	203.103658395	12.9925386892631	47.6863337678961
1992	1	64.739379232	7.94991691508864	49.3230411425381
1992	2	146.283100159	20.0051962503104	70.6663513477944
1992	3	45.4343662268	40.6887762014093	112.899857939708
1992	4	57.446880348	65.0240697786644	137.591061915869
1992	5	80.99914902	97.1344898634758	157.879013934626
1992	6	148.1230341304	148.939509147433	184.742877312643
1992	7	66.8092645398	90.5484222514681	171.052457125274
1992	8	21.81591049	143.417582112628	172.116317923876
1992	9	50.44874	118.840983047042	147.706487759526
1992	10	21.468064149	73.6940958565188	118.238033205141
1992	11	58.240334668	19.142660218201	63.0509413789286
1992	12	37.3558012	13.5205915660025	52.3493357469448
1993	1	42.027526412	7.39205230287234	50.2455273130166
1993	2	47.995096472	12.6223133945734	64.1938471346439
1993	3	43.714588513	33.1793458385661	109.494419133189
1993	4	74.45311745	64.4111787758727	147.404785593636
1993	5	49.62043599	105.880412919057	179.32803258947
1993	6	66.84184688	158.301093444297	180.182742262954
1993	7	3.55128049	195.161014564707	198.359025735992
1993	8	48.747510471	178.06708268145	188.075529670773
1993	9	58.74291	108.214570725522	143.501435880096
1993	10	98.294593	56.4733932882143	103.719117625146
1993	11	4.5939296885	17.5143903638409	63.7844158661861
1993	12	23.71768729	14.0318891612838	55.5936189025697
1994	1	45.03468212	9.36262287468814	54.8071495589082
1994	2	27.89141951	14.1199706775413	71.081881315609
1994	3	4.144810359	42.1903996095194	117.383959233059
1994	4	35.8705516	69.6464050376892	152.659400211468
